date,city,vegetable,avg_price,rolling_z,total_volume,vol_pct_ch,procurement_action
2020-03-28,Xi'an,茄子,9.43,4.927496004224071,909,-0.3828920570264765,
2019-03-30,Chengdu,白菜,4.74,4.791299759003479,792,-0.4575342465753425,
2020-01-05,Shanghai,白菜,3.35,4.637107569449917,1048,-0.4592363261093911,
2020-10-20,Beijing,西红柿,5.58,4.578459550885262,1344,-0.5254237288135593,
2020-10-25,Nanjing,青椒,7.1,4.544946435530805,1419,-0.3762637362637362,
2019-10-17,Chengdu,茄子,5.87,4.514574660953794,1255,-0.5219047619047619,
2019-10-08,Nanjing,茄子,4.95,4.502824775021371,1638,-0.4688715953307393,
2021-08-30,Beijing,西红柿,6.0,4.473878658856576,1387,-0.4724229745150247,
2021-10-27,Beijing,西红柿,5.11,4.460979764512815,1353,-0.488855307895731,
2019-09-10,Chengdu,黄瓜,5.22,4.403162525937502,1521,-0.3704470198675497,
2021-09-10,Shanghai,白菜,2.56,4.364746585977608,1610,-0.3732970027247956,
2019-07-17,Shenzhen,青椒,7.85,4.297288351909789,1185,-0.4394512771996215,
2021-11-04,Shenzhen,西红柿,5.03,4.293672545259726,1409,-0.4446196294836421,
2020-05-21,Nanjing,茄子,8.11,4.291196623017043,1073,-0.3272727272727272,
2020-05-16,Wuhan,黄瓜,7.06,4.243344157811893,901,-0.5171489817792069,
2019-03-08,Beijing,黄瓜,7.3,4.175948180073189,950,-0.4010088272383354,
2019-10-17,Xi'an,黄瓜,4.42,4.158013523423289,1598,-0.3937784522003035,
2020-12-21,Beijing,茄子,6.24,4.144271287830639,1110,-0.4356888662938485,
2021-07-10,Guangzhou,西红柿,7.31,4.114338564613793,1044,-0.427945205479452,
2019-07-05,Beijing,青椒,7.68,4.06610656287448,1115,-0.477751756440281,
2019-10-31,Xi'an,菠菜,3.98,4.0302347169898,1648,-0.3764661369655694,
2021-12-23,Shenzhen,青椒,7.32,4.018544566578215,1312,-0.2268709487330583,
2019-12-30,Xi'an,土豆,3.53,4.010760678428968,985,-0.5293836598184425,
2021-04-01,Shenzhen,茄子,7.93,3.996966204870327,866,-0.3004846526655896,
2020-03-03,Nanjing,茄子,8.08,3.982640680215288,1113,-0.3303249097472924,
2021-06-20,Nanjing,茄子,7.05,3.957788120147277,1046,-0.3770101250744491,
2021-08-02,Shanghai,青椒,7.66,3.954966219370329,1305,-0.3853038153556288,
2019-12-28,Chengdu,土豆,3.04,3.926350637395015,1553,-0.2108739837398373,
2020-12-19,Shanghai,土豆,3.17,3.901466693080399,1488,-0.2122816304923239,
2021-11-03,Xi'an,茄子,4.92,3.894174220365147,1647,-0.4394145677331518,
2021-03-02,Shenzhen,西红柿,7.4,3.878091871001247,1029,-0.2639484978540772,
2021-07-23,Beijing,白菜,3.47,3.865055350174136,1065,-0.3401486988847584,
2021-11-10,Wuhan,白菜,2.78,3.827710265547791,1360,-0.4359187059311489,
2021-06-14,Chengdu,西红柿,7.09,3.817174653137693,1157,-0.2927872860635696,
2021-08-31,Guangzhou,土豆,3.16,3.794343438966661,1409,-0.3612873980054397,
2021-08-27,Xi'an,土豆,2.84,3.732810885528672,1319,-0.4425190194420964,
2021-11-27,Chengdu,土豆,2.3,3.7045714204181617,1596,-0.4275466284074605,
2020-10-27,Xi'an,白菜,2.35,3.700482385529856,1752,-0.469251741896395,
2019-10-06,Nanjing,青椒,5.32,3.664507511147753,1357,-0.3553444180522566,
2020-12-03,Shenzhen,菠菜,4.03,3.637179883844477,1429,-0.4742457689477557,
2020-01-25,Shenzhen,青椒,7.17,3.582450134155544,1004,-0.3202437373053487,
2020-01-15,Chengdu,黄瓜,5.05,3.561727344471861,1474,-0.2464212678936604,
2021-01-15,Guangzhou,茄子,5.9,3.50225017512688,1333,-0.3364858138377302,
2019-01-19,Shanghai,黄瓜,6.89,3.47590405723961,1111,-0.3761931499157777,
2021-11-06,Shanghai,西红柿,4.63,3.4640505722903985,1528,-0.5414165666266506,
2020-07-21,Nanjing,西红柿,5.61,3.4630213978459743,1359,-0.4836626139817629,
2021-01-17,Guangzhou,黄瓜,5.68,3.4532268800390167,1236,-0.235621521335807,
2020-01-17,Shenzhen,白菜,3.13,3.4418182602701184,901,-0.3645980253878702,
2021-10-16,Wuhan,黄瓜,4.34,3.42345178186434,1568,-0.3829201101928374,
2020-01-15,Guangzhou,白菜,2.72,3.4217806194891502,1506,-0.2343670564311133,
2020-09-27,Beijing,白菜,2.4,3.407499543958659,1423,-0.2750891492613346,
2021-09-25,Beijing,土豆,2.55,3.357476305567811,2014,-0.2011106703689011,
2019-12-22,Wuhan,土豆,3.08,3.3507726746684843,1553,-0.2547984644913628,
2020-01-15,Shanghai,西红柿,5.81,3.343648633822084,1424,-0.3153846153846154,
2019-11-25,Xi'an,白菜,2.23,3.3270983711338964,1915,-0.2475442043222003,
2019-12-07,Nanjing,青椒,5.29,3.276893754813037,1950,-0.2677431468268869,
2021-10-31,Guangzhou,白菜,1.75,3.2692934620025658,2647,-0.2239812371738493,
2020-01-18,Beijing,青椒,6.31,3.25641562612391,1529,-0.2057142857142857,
2020-10-25,Xi'an,西红柿,3.78,3.201539311715,1759,-0.3404574428196475,
2020-01-15,Wuhan,西红柿,5.57,3.201070106322118,1471,-0.3499779054352629,
2020-11-28,Beijing,黄瓜,4.11,3.197876585064687,1925,-0.2146062831497348,
2020-04-01,Chengdu,西红柿,6.47,3.193807405435801,1110,-0.3501170960187353,
2020-12-04,Wuhan,茄子,4.48,3.179381190892548,1865,-0.24524484014569,
2020-12-17,Guangzhou,黄瓜,4.32,3.1725623546472037,1325,-0.4687249398556535,
2020-01-16,Guangzhou,土豆,3.44,3.161160689039918,1069,-0.2566063977746871,
2021-01-15,Nanjing,茄子,5.99,3.144401303894078,1224,-0.2559270516717326,
2020-02-06,Shanghai,茄子,7.48,3.1389670422291087,941,-0.502905441098785,
2019-01-15,Nanjing,黄瓜,4.82,3.1366191808626382,1382,-0.3336547733847638,
2019-01-17,Shenzhen,土豆,3.18,3.1085044856970843,1428,-0.3051094890510949,
2021-01-16,Nanjing,菠菜,4.24,3.105614940377437,1273,-0.225669099756691,
2020-01-15,Wuhan,菠菜,4.35,3.103901886165085,1396,-0.2086167800453514,
2020-11-14,Chengdu,茄子,4.38,3.086007616969697,1862,-0.3666666666666667,
2021-01-17,Xi'an,西红柿,5.5,3.085864817332676,1332,-0.2963549920760697,
2020-11-21,Beijing,白菜,2.47,3.085135050111398,1459,-0.2686716791979949,
2019-12-08,Shanghai,西红柿,4.34,3.070632565345856,1905,-0.2108533554266777,
2021-11-29,Chengdu,茄子,4.95,3.068424621630039,1544,-0.2874942316566682,
2021-03-31,Nanjing,黄瓜,5.71,3.066376465709266,1099,-0.392817679558011,
2020-01-16,Chengdu,茄子,5.91,3.045431155217323,1294,-0.3065380493033226,
2019-11-16,Nanjing,西红柿,4.13,3.0300066720863925,1925,-0.4282744282744283,
2021-01-15,Xi'an,土豆,2.98,3.027299537096469,1481,-0.2029063509149623,
2021-01-15,Nanjing,菠菜,3.98,3.026112963026636,1644,-0.2270803949224259,
2021-02-08,Wuhan,土豆,4.26,3.0227510566472726,1148,-0.2382216323822162,
2020-01-15,Shenzhen,西红柿,5.59,3.020897318894797,1318,-0.2438324727481353,
2020-11-08,Xi'an,土豆,2.18,3.0104762478392684,1900,-0.2006731173748422,
2019-12-01,Shanghai,菠菜,3.37,3.006239553128061,1655,-0.3975245722606479,
