date,product,avg_price,low_price,high_price,n_records,origin,price_pct_ch,rolling_mean,rolling_std,rolling_z,rolling_vol,origin_prev,origin_changed,price_anom,surge,crash,origin_shift_alert,sustained_high,anomaly_any
2026-02-28,荠菜,18.5,18.0,19.0,1,,1.96,9.0625,2.550513386454335,3.7002354310791508,0.5666198802222346,,True,True,True,False,True,False,True
2026-03-20,荠菜,13.0,6.0,20.0,2,,1.6,7.541666666666667,2.886378034998105,1.891066681893218,0.510025183801681,,True,False,True,False,True,False,True
2026-05-31,荠菜,16.5,16.0,17.0,1,,1.2297297297297298,7.878333333333333,2.6224062171631766,3.2876930394076287,0.39528170299029036,,True,True,True,False,True,False,True
2026-05-10,荠菜,16.5,16.0,17.0,1,,1.2000000000000002,7.2625,2.5651741723482915,3.601119993947047,0.3937424127849074,,True,True,True,False,True,False,True
2026-03-31,荠菜,13.0,6.0,20.0,2,,1.0,7.1625,3.0666360177753766,1.9035516331783926,0.5366707497128123,,True,False,True,False,True,False,True
2026-03-10,荠菜,11.875,6.0,18.0,2,,0.8999999999999999,8.5,2.7813650208684115,1.2134329635547947,0.6091162440364069,,True,False,True,False,True,False,True
2026-03-09,菠菜,2.375,1.2,4.0,2,冀,0.8999999999999999,2.8133333333333335,0.7787515797663007,-0.5628667019396288,0.46602453579034153,冀豫鲁,True,False,True,False,True,False,True
2026-07-13,菜心,3.55,3.3,3.8,1,,0.868421052631579,2.1599999999999997,0.3457625256414168,4.020100204385772,0.23708522576969634,,True,True,True,False,True,False,True
2026-04-20,荠菜,10.25,6.5,14.0,2,,0.8636363636363635,6.516666666666667,2.4333205400387934,1.5342546417143277,0.3832793643157222,,True,False,True,False,True,False,True
2026-04-30,荠菜,11.25,6.0,16.5,2,,0.8,6.745833333333334,2.2871651190085007,1.969322909497347,0.3663712329056548,,True,False,True,False,True,False,True
2026-08-10,穿心莲,4.5,4.0,5.0,1,,0.8,2.8733333333333335,0.35761020325387044,4.548714359561722,0.23441802724273203,,True,True,True,False,True,False,True
2026-04-10,荠菜,9.375,5.0,14.0,2,,0.7857142857142858,6.591666666666667,2.241106305212749,1.2419461436788517,0.3768070094892725,,True,False,True,False,True,False,True
2026-06-15,荠菜,8.25,7.5,9.0,1,,0.736842105263158,7.616666666666666,2.7094449531265576,0.23375021241989075,0.4748711392914694,,True,False,True,False,True,False,True
2026-01-31,荠菜,15.5,15.0,16.0,1,,0.7222222222222223,9.302083333333334,2.1505549924059877,2.882007987962489,0.22779811577878809,,True,False,True,False,True,False,True
2026-01-10,荠菜,15.5,15.0,16.0,1,,0.7222222222222223,,,,0.27083384208336425,,True,False,True,False,True,False,True
2026-05-26,菊花菜,2.75,2.5,3.0,1,,0.71875,1.4066666666666667,0.2893909577660753,4.641932642619732,0.208053063241954,,True,True,True,False,True,False,True
2026-06-22,穿心莲,3.0,2.5,3.5,1,,0.7142857142857142,2.75,0.4172983717132061,0.5990917217664483,0.28992796341683863,,True,False,True,False,True,False,True
2026-05-20,荠菜,11.0,6.0,16.0,2,,0.6923076923076923,7.404166666666667,2.3720906257522274,1.5158920550065569,0.40472217426957596,,True,False,True,False,True,False,True
2026-06-02,快菜,1.25,1.0,1.5,1,,0.6666666666666667,0.6983333333333334,0.16582257517232576,3.326848989610521,0.3327813220828857,,True,True,True,False,True,False,True
2026-05-22,快菜,1.0,0.7,1.3,1,,0.6666666666666667,0.7,0.15811388300841903,1.897366596101027,0.27487548116254723,,True,False,True,False,True,False,True
