date,product,avg_price,low_price,high_price,n_records,origin,price_pct_ch,rolling_mean,rolling_std,rolling_z,rolling_vol,origin_prev,origin_changed,price_anom,surge,crash,origin_shift_alert,sustained_high,anomaly_any
2026-02-28,荠菜,18.5,18.0,19.0,1,,1.96,9.0625,2.550513386454335,3.7002354310791508,0.5666198802222346,,True,True,True,False,True,False,True
2026-03-20,荠菜,13.0,6.0,20.0,2,,1.6,7.541666666666667,2.886378034998105,1.891066681893218,0.510025183801681,,True,False,True,False,True,False,True
2026-07-21,瓠子,1.25,1.0,1.5,1,冀,1.5,0.7283333333333334,0.2340362974107813,2.2289989733987094,0.41027071861495523,冀,False,False,True,False,False,False,True
2026-06-01,水萝卜,1.575,0.6,2.8,2,冀,1.423076923076923,1.1424999999999998,0.3255068991270438,1.3286968760413198,0.5482005497878051,冀,False,False,True,False,False,False,True
2026-07-12,豇豆,3.0,2.5,3.5,1,鲁冀,1.4,1.7850000000000001,0.5156432206812007,2.356280372298699,0.3901096896951411,鲁冀,False,False,True,False,False,False,True
2026-05-04,小白菜,1.6,0.6,3.0,2,冀,1.285714285714286,1.1733333333333333,0.3130724641613995,1.3628367726607395,0.43163348142170715,冀,False,False,True,False,False,False,True
2026-05-18,菠菜,2.4,1.0,3.8,2,冀,1.2857142857142856,1.6158333333333335,0.4516484812049327,1.7362322675692907,0.40300944741296646,冀,False,False,True,False,False,False,True
2026-05-04,菠菜,1.825,0.6,3.5,2,冀,1.28125,1.6708333333333334,0.5318349551695897,0.28987689727446825,0.4962163934736775,冀,False,False,True,False,False,False,True
2026-05-25,小白菜,1.825,0.6,3.1,2,冀,1.28125,1.3091666666666666,0.39394574134826704,1.309401978982968,0.5180164914786363,冀,False,False,True,False,False,False,True
2026-05-25,水萝卜,1.45,0.6,2.5,2,冀,1.2307692307692308,1.1108333333333333,0.2571128939393706,1.3191351918221768,0.43205870847607936,冀,False,False,True,False,False,False,True
2026-05-31,荠菜,16.5,16.0,17.0,1,,1.2297297297297298,7.878333333333333,2.6224062171631766,3.2876930394076287,0.39528170299029036,,True,True,True,False,True,False,True
2026-05-10,荠菜,16.5,16.0,17.0,1,,1.2000000000000002,7.2625,2.5651741723482915,3.601119993947047,0.3937424127849074,,True,True,True,False,True,False,True
2026-05-18,小白菜,1.525,0.6,2.7,2,冀,1.1785714285714284,1.2383333333333333,0.36963013511023163,0.7755500416143735,0.4699587674583683,冀,False,False,True,False,False,False,True
2026-03-02,菠菜,2.825,0.9,4.8,2,冀豫鲁,1.1730769230769234,3.1533333333333338,0.7049924594037112,-0.46572602153935205,0.38163896761590554,冀豫鲁,False,False,True,False,False,False,True
2026-06-01,小白菜,1.9,1.0,2.9,2,冀,1.1111111111111112,1.3866666666666667,0.4300527901302927,1.1936519076595435,0.5139165525844229,冀,False,False,True,False,False,False,True
2026-03-23,小白菜,1.475,0.6,2.5,2,冀鲁,1.1071428571428572,1.745,0.5197147758875647,-0.5195157277160269,0.40398392632337166,冀鲁,False,False,True,False,False,False,True
2026-07-13,小白菜,1.675,0.8,2.8,2,冀,1.09375,1.2375,0.24920131039672966,1.755608745810758,0.351190884194121,冀,False,False,True,False,False,False,True
2026-08-11,圆白菜,1.15,0.7,1.6,1,冀,1.0909090909090904,0.6916666666666667,0.11453303493731669,4.001756642388606,0.3145604494504323,冀,False,True,True,False,False,False,True
