city,vegetable,level_2,date,avg_price,total_volume,total_revenue,price_pct_ch,vol_pct_ch,rolling_vol,rolling_mean,rolling_std,rolling_z,price_anom,vol_drop,vol_rise,supply_risk,demand_spike,price_shock_any
Xi'an,茄子,56348,2020-03-28,9.43,909,8571.87,0.6869409660107335,-0.38289205702647655,0.19993328889914347,5.410666666666667,0.8156948945037762,4.927496004224071,True,True,False,True,False,True
Chengdu,白菜,8856,2019-03-30,4.74,792,3754.08,0.7886792452830189,-0.4575342465753425,0.2435665910011583,2.7479999999999998,0.41575357422727977,4.791299759003479,True,True,False,True,False,True
Shanghai,白菜,32153,2020-01-05,3.35,1048,3510.8,0.675,-0.45923632610939114,0.19870102152435906,1.8906666666666667,0.31470767315118564,4.637107569449917,True,True,False,True,False,True
Beijing,西红柿,5042,2020-10-20,5.58,1344,7499.52,0.9442508710801394,-0.5254237288135593,0.32062173681056416,2.723,0.624009007450462,4.578459550885262,True,True,False,True,False,True
Nanjing,青椒,29159,2020-10-25,7.1,1419,10074.9,1.1515151515151514,-0.3762637362637362,0.3499477537867224,3.722333333333333,0.7431697412891928,4.544946435530805,True,True,False,True,False,True
Chengdu,茄子,10153,2019-10-17,5.87,1255,7366.85,0.8694267515923566,-0.5219047619047619,0.2842915123489008,3.1073333333333335,0.6119439535601783,4.5145746609537944,True,True,False,True,False,True
Nanjing,茄子,25488,2019-10-08,4.95,1638,8108.1,0.8609022556390977,-0.4688715953307393,0.2531139829808468,3.0966666666666667,0.4115934831873482,4.502824775021371,True,True,False,True,False,True
Beijing,西红柿,5356,2021-08-30,6.0,1387,8322.0,0.9736842105263157,-0.4724229745150247,0.3051339021979885,3.1950000000000003,0.6269727486790837,4.4738786588565755,True,True,False,True,False,True
Beijing,西红柿,5414,2021-10-27,5.11,1353,6913.83,0.5820433436532508,-0.48885530789573106,0.24382611827507245,2.8386666666666667,0.5091557131466582,4.460979764512815,True,True,False,True,False,True
Chengdu,黄瓜,14500,2019-09-10,5.22,1521,7939.62,1.0154440154440154,-0.3704470198675497,0.31917424491983226,2.759333333333333,0.5588407541560716,4.403162525937502,True,True,False,True,False,True
Shanghai,白菜,32767,2021-09-10,2.56,1610,4121.6,0.7066666666666668,-0.3732970027247956,0.270532226549971,1.2733333333333334,0.29478610987411574,4.364746585977608,True,True,False,True,False,True
Shenzhen,青椒,44037,2019-07-17,7.85,1185,9302.25,0.8601895734597156,-0.4394512771996215,0.2613792981127336,4.7943333333333324,0.7110685661362883,4.297288351909789,True,True,False,True,False,True
